"lat","long","date","num"
-23.6494373646001,-46.6480214488086,2020-02-25,18317
-23.6494373646001,-46.6480214488086,2020-02-26,18318
-23.6494373646001,-46.6480214488086,2020-02-27,18319
-23.6494373646001,-46.6480214488086,2020-02-28,18320
-23.6494373646001,-46.6480214488086,2020-02-29,18321
-23.6494373646001,-46.6480214488086,2020-03-01,18322
-23.6494373646001,-46.6480214488086,2020-03-02,18323
-23.6494373646001,-46.6480214488086,2020-03-03,18324
-23.6494373646001,-46.6480214488086,2020-03-04,18325
-23.6494373646001,-46.6480214488086,2020-03-05,18326
-23.6494373646001,-46.6480214488086,2020-03-06,18327
-23.566821036196,-46.7578551973315,2020-03-07,18328
-23.6068774378465,-46.7046024707749,2020-03-08,18329
-23.6189052432334,-46.6886121819584,2020-03-09,18330
-23.6296559901935,-46.6743196702859,2020-03-10,18331
-23.6391857034113,-46.6616504540997,2020-03-11,18332
-23.6305547844021,-46.6130010904986,2020-03-12,18333
-23.6372144763877,-46.631615676781,2020-03-13,18334
-23.6340162936437,-46.660066042721,2020-03-14,18335
-23.639664529753,-46.6517852551935,2020-03-15,18336
-23.6572808912756,-46.6230540617619,2020-03-16,18337
-23.6420585048418,-46.6271073962571,2020-03-17,18338
-23.5167563554405,-46.7136228922353,2020-03-18,18339
-23.5681429636275,-46.6607109274148,2020-03-19,18340
-23.5871468286478,-46.6593357830683,2020-03-20,18341
-23.6027272116809,-46.6573457440445,2020-03-21,18342
-23.6124690162258,-46.6559552590809,2020-03-22,18343
-23.6040062968314,-46.6601969856307,2020-03-23,18344
-23.6092507054449,-46.6600494693945,2020-03-24,18345
-23.6021349900195,-46.6440930064758,2020-03-25,18346
-23.5850887011791,-46.6653862389082,2020-03-26,18347
-23.5921667585913,-46.665386711399,2020-03-27,18348
-23.6065237621303,-46.6560787120549,2020-03-28,18349
-23.6142651265384,-46.6516716078162,2020-03-29,18350
-23.5528092328198,-46.720468107201,2020-03-30,18351
-23.5397268482544,-46.734762291662,2020-03-31,18352
-23.5661905068559,-46.7161548544745,2020-04-01,18353
-23.5567536964092,-46.7348827391514,2020-04-02,18354
-23.5406608085326,-46.7368601935484,2020-04-03,18355
-23.5239664360321,-46.7657620588431,2020-04-04,18356
-23.550186943993,-46.7268115267925,2020-04-05,18357
-23.5303597002167,-46.7648432457174,2020-04-06,18358
-23.4903721758237,-46.7616476113965,2020-04-07,18359
-23.4515362761543,-46.7847967709089,2020-04-08,18360
-23.4783003526969,-46.7800776261024,2020-04-09,18361
-23.4842909253548,-46.777685380446,2020-04-10,18362
-23.4863604588724,-46.7705934475343,2020-04-11,18363
-23.493722212393,-46.7543528343683,2020-04-12,18364
-23.5080440308951,-46.7394561028022,2020-04-13,18365
-23.4663764118093,-46.7844051745331,2020-04-14,18366
-23.4137410458987,-46.8461927947406,2020-04-15,18367
-23.4055840671262,-46.8489001294537,2020-04-16,18368
-23.42810778578,-46.8401884674004,2020-04-17,18369
-23.4494337599265,-46.8483555465853,2020-04-18,18370
-23.4621582658268,-46.8345596996655,2020-04-19,18371
-23.4603312775621,-46.8278849749025,2020-04-20,18372
-23.4860296742997,-46.8068521822584,2020-04-21,18373
-23.5078840716594,-46.7847949123142,2020-04-22,18374
-23.5104479941121,-46.7897163356362,2020-04-23,18375
-23.4998532973396,-46.808709435606,2020-04-24,18376
-23.5089674937904,-46.7899506855788,2020-04-25,18377
-23.5207947893036,-46.7714912046341,2020-04-26,18378
-23.5077086544788,-46.7717182545304,2020-04-27,18379
-23.4851940665184,-46.7958966553681,2020-04-28,18380
-23.5037736070969,-46.7796119941515,2020-04-29,18381
-23.4984775670835,-46.7869792385954,2020-04-30,18382
-23.4963975598444,-46.7888643402831,2020-05-01,18383
-23.488117740758,-46.7893804008505,2020-05-02,18384
-23.4895978786488,-46.7837988304812,2020-05-03,18385
-23.4908116934502,-46.7895199642218,2020-05-04,18386
-23.4866175070783,-46.807211201345,2020-05-05,18387
-23.4410019977306,-46.8583587017419,2020-05-06,18388
-23.4221844768328,-46.8546659911667,2020-05-07,18389
-23.4210549392358,-46.8747211753786,2020-05-08,18390
-23.4249587139291,-46.8736954915819,2020-05-09,18391
-23.4243055443036,-46.8708850088255,2020-05-10,18392
-23.4339516824339,-46.8531587623769,2020-05-11,18393
-23.4228531293918,-46.8641065266546,2020-05-12,18394
-23.4056441683081,-46.881048622238,2020-05-13,18395
-23.4054528481101,-46.8809295034039,2020-05-14,18396
-23.4051167100477,-46.8865523538337,2020-05-15,18397
-23.406779695661,-46.887744489246,2020-05-16,18398
-23.417909361005,-46.8653228428175,2020-05-17,18399
-23.4075698913707,-46.8729627084504,2020-05-18,18400
-23.401203142232,-46.8789636957636,2020-05-19,18401
-23.4088743050677,-46.8632260369533,2020-05-20,18402
-23.4143305947134,-46.8571104036879,2020-05-21,18403
-23.4123077840718,-46.8534899387448,2020-05-22,18404
-23.419326208905,-46.8476833796259,2020-05-23,18405
-23.422291008003,-46.846990457534,2020-05-24,18406
-23.4382870104784,-46.8284938870688,2020-05-25,18407
-23.4555624215395,-46.8103119911941,2020-05-26,18408
-23.4459179908256,-46.8164190545582,2020-05-27,18409
-23.459920530579,-46.8059396801294,2020-05-28,18410
-23.4541616226222,-46.8034297548424,2020-05-29,18411
-23.4555213508983,-46.8013739995411,2020-05-30,18412
-23.4629814539378,-46.7899168977721,2020-05-31,18413
-23.4662597215342,-46.7879421837495,2020-06-01,18414
-23.4563388022203,-46.8006422027909,2020-06-02,18415
-23.4519418357307,-46.8049547584663,2020-06-03,18416
-23.4353385700668,-46.8234817358655,2020-06-04,18417
-23.4243599858321,-46.8374491132627,2020-06-05,18418
-23.4169090234977,-46.8440737627718,2020-06-06,18419
-23.3974364489416,-46.8599182309517,2020-06-07,18420
-23.38748913099,-46.8701616414748,2020-06-08,18421
-23.365981666154,-46.8915454304224,2020-06-09,18422
-23.3553384226561,-46.9006912631922,2020-06-10,18423
-23.3327075838779,-46.9200380734885,2020-06-11,18424
-23.3310999380543,-46.9201599737323,2020-06-12,18425
-23.3190426760597,-46.9271008624624,2020-06-13,18426
-23.3460635139359,-46.904705229707,2020-06-14,18427
-23.3655448549488,-46.8871270151345,2020-06-15,18428
-23.366601187919,-46.8880727114491,2020-06-16,18429
-23.3688746538228,-46.8841477571526,2020-06-17,18430
-23.3791200423043,-46.8711233338052,2020-06-18,18431
-23.300172791978,-46.9561372057259,2020-06-19,18432
-23.2560793622199,-46.9971224755037,2020-06-20,18433
-23.2210541184557,-47.0269416702946,2020-06-21,18434
